grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,100.71484375,65.05078125,93.046875,311.03882,0.40958402,0.40375692,5.426221,0.29240352,0.338317,1523.0957661290515,0.2985331202593532,0.024917756238525133,0.046373784350466615
A,100.1591796875,61.884765625,90.6240234375,312.13324,0.45381302,0.40471816,5.4484634,0.32911465,0.33028495,1516.6340725806658,0.4206407856342423,0.024702723296054458,0.04470482525745593
A,88.5029296875,54.2060546875,73.3056640625,323.13812,0.45859772,0.35042128,5.639131,0.32431564,0.28237212,1450.6965725806647,0.44882796452677404,0.024958504845040624,0.045108227903975784
A,93.03515625,53.0390625,71.2939453125,330.46814,0.4942584,0.36590838,5.7709575,0.34745568,0.28414142,1329.1532258064697,0.4999699757618528,0.02557187680235094,0.05637252297286017
A,98.7109375,56.9345703125,74.205078125,333.78903,0.48838186,0.38716298,5.8296814,0.33922547,0.30045828,1244.329637096791,0.5720383595980787,0.026479688581782193,0.06323132059859511
A,104.9521484375,74.8271484375,95.5322265625,315.9433,0.33755773,0.4223805,5.5108476,0.22191867,0.35988438,1078.5231854838837,0.4353846857184232,0.02502965527809545,0.04111554224189471
A,100.2802734375,61.6083984375,81.623046875,325.89893,0.42947775,0.39505592,5.6886873,0.29091632,0.31831598,1179.0312500000123,0.40545494384002506,0.024958504845040634,0.038474837034689124
A,92.7568359375,49.21875,68.8720703125,330.64276,0.5160819,0.36424634,5.773999,0.36229888,0.27561784,1247.002016129047,0.3113853999383963,0.025621502070844918,0.053892158240012394
A,105.87890625,54.7158203125,72.8056640625,337.94684,0.5207944,0.41537994,5.909789,0.34655643,0.3050986,1176.8971774193697,0.3483267216401721,0.025661133188221986,0.051305209455222864
A,107.962890625,59.0,74.337890625,340.59863,0.47927785,0.4233839,5.95765,0.3013607,0.31542587,696.4122983871061,0.4553060455052239,0.026151455183615127,0.07032615957369673
A,103.2060546875,57.02734375,69.9521484375,342.73315,0.46835378,0.40472963,5.9971356,0.28587735,0.30089617,378.87903225806906,0.5973213380902203,0.028681162783179708,0.08958240136042869
A,110.890625,63.0380859375,75.7939453125,343.4437,0.45464635,0.4348652,6.009837,0.27255416,0.32643488,743.7540322580725,0.4127724935991479,0.026537190687678368,0.08063989708177859
A,107.4306640625,60.8505859375,71.013671875,346.644,0.45311937,0.42129672,6.0672235,0.26349592,0.31280383,390.4445564516173,0.595884825365251,0.028592448797748304,0.12065208593686534
A,100.69140625,54.99609375,65.228515625,346.38828,0.47103783,0.39486825,6.0632105,0.27708602,0.2887791,283.0947580645194,0.608958145680048,0.03080787659261376,0.11570593757803041
A,105.8740234375,57.9794921875,67.3232421875,347.83936,0.47255552,0.41520756,6.0877433,0.2751053,0.30219185,528.6209677419412,0.45718916773946644,0.029311978525300493,0.11321205228356959
A,105.1142578125,57.880859375,65.888671875,349.7175,0.464639,0.4122128,6.1210933,0.26201808,0.2991945,333.0362903225841,0.5500634197884389,0.03120118455754537,0.11765756331635402
A,94.2041015625,47.337890625,57.814453125,346.55826,0.5144135,0.36942786,6.066719,0.31179908,0.2605967,286.7661290322612,0.5391975620710157,0.031176748173775054,0.11807586512120719
A,102.5185546875,56.7744140625,67.50390625,341.96964,0.48065963,0.40819165,5.9841866,0.28761363,0.29646653,710.9052419354922,0.37595858436591884,0.027981735648754672,0.0935918359161384
A,106.8076171875,58.60546875,65.7109375,350.0328,0.46648976,0.4188534,6.1251125,0.25963008,0.30212292,413.88608870968284,0.48030149203222694,0.0315332506443898,0.11594770968353403
A,102.875,54.1474609375,62.1806640625,349.066,0.49014235,0.4034314,6.108657,0.28132945,0.28654003,388.52822580645625,0.4825712694914064,0.030325824509055785,0.09842113341400904
A,97.365234375,50.4443359375,58.1103515625,349.8253,0.49815834,0.38182443,6.122048,0.28742933,0.2691764,289.0625000000036,0.5554344274720103,0.033227922830341816,0.1380089810825461
A,83.8203125,36.1591796875,47.2978515625,345.76477,0.58813894,0.3287186,6.0530643,0.38080356,0.2186632,211.57762096774448,0.6076496091709984,0.04039811473692294,0.16494574949267574
A,82.052734375,39.20703125,53.572265625,337.6036,0.56968707,0.322752,5.905285,0.3887002,0.22853862,731.9304435483947,0.5437303653620311,0.04095397795518502,0.16123660949716503
A,97.890625,50.3232421875,58.509765625,348.9735,0.50004995,0.38388482,6.1074615,0.28944707,0.270227,271.92943548387336,0.5212747764609336,0.032734945324858065,0.1367670658633206
A,84.48828125,36.080078125,47.666015625,345.41162,0.5977504,0.3313266,6.046292,0.39452845,0.21991423,197.74899193548586,0.7024478181723233,0.03669410226451848,0.1554548764995575
A,91.740234375,48.7998046875,64.6689453125,334.4379,0.5265369,0.36050093,5.846798,0.36217073,0.26824707,908.9919354838812,0.603010806111605,0.031565460306152295,0.12426221072505719
A,92.2822265625,46.2529296875,55.6552734375,347.77078,0.51156116,0.3618911,6.087627,0.3040211,0.25384372,254.08770161290505,0.43220069295917385,0.03599510296644576,0.1323476113193578
A,82.58203125,36.423828125,48.8056640625,342.91953,0.5904418,0.32410386,6.0017242,0.39620787,0.21936148,292.7066532258094,0.6329628890907804,0.033570213317231375,0.12406644478452854
A,91.96875,53.28125,70.6357421875,329.44977,0.4853127,0.36187577,5.756437,0.3364159,0.2822036,1107.7610887096907,0.542581236059598,0.028698872672353246,0.09625703132367772
A,83.162109375,36.3564453125,47.623046875,345.6141,0.57355726,0.32612592,6.0509415,0.36477378,0.21848576,129.3981854838719,0.5608476715771283,0.04693187236687485,0.18954712443024216
A,81.0732421875,35.2041015625,48.57421875,341.52814,0.5942515,0.31797642,5.976562,0.40144506,0.21549225,366.34072580645534,0.5784817819692387,0.0506144766557803,0.17360271589764162
