grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,92.2353515625,44.8134765625,63.806640625,334.29364,0.5570383,0.3617877,5.841432,0.39290014,0.2625562,1148.907258064529,0.26590607901274216,0.02593685550457432,0.045963690369091995
A,100.5791015625,67.458984375,92.044921875,312.91995,0.38305426,0.40240502,5.458087,0.26594427,0.3399778,1435.6179435484078,0.3515368912713371,0.024754091043969476,0.044679019908359645
A,100.515625,67.134765625,92.392578125,312.17834,0.3815087,0.40169656,5.444676,0.2650151,0.33992547,1249.709677419372,0.36968755366752465,0.024702723296054507,0.04204524462938198
A,106.0869140625,55.021484375,73.115234375,337.8451,0.5191028,0.41623777,5.9079022,0.34537405,0.3061747,1185.7237903225976,0.34172493032711504,0.025352371653144187,0.046141883927010345
A,108.0576171875,59.20703125,74.498046875,340.6057,0.47807354,0.42375538,5.9577174,0.30046192,0.31602967,731.6229838709766,0.4356822537885922,0.02670895423284687,0.06393185375006744
A,103.072265625,57.0546875,70.009765625,342.61243,0.46715164,0.40420496,5.9948845,0.28517473,0.30083233,381.00504032258516,0.5887269580493567,0.02900704550390828,0.0773839894418862
A,111.138671875,63.4345703125,76.12109375,343.47717,0.45272037,0.43583792,6.010461,0.27119708,0.32770503,752.2953629032348,0.41340850554492037,0.026335384027446358,0.06958327638062581
A,107.775390625,61.244140625,71.3720703125,346.6693,0.45144328,0.4226486,6.0676155,0.2621951,0.31423742,330.5433467741973,0.6549340509533045,0.0289193312253657,0.10607637089510963
A,100.7861328125,55.23046875,65.48828125,346.31006,0.4696449,0.39523974,6.0617867,0.2761469,0.28954887,272.4173387096801,0.6380849440074913,0.030149387961166337,0.10948342205952474
A,105.77734375,58.3154296875,67.732421875,347.5055,0.46836147,0.41484377,6.0817432,0.2723797,0.3030395,479.48185483871555,0.48813216824158423,0.02919908943137211,0.11504806081914273
A,105.166015625,58.4609375,66.33203125,349.727,0.45842192,0.41241574,6.1211967,0.25668234,0.3006,336.8588709677448,0.5273997297112442,0.03164584103294865,0.11233439355467989
A,94.3076171875,47.736328125,58.134765625,346.5801,0.51042765,0.3698338,6.067065,0.3083642,0.26167154,299.4122983870996,0.5157633359179605,0.031565460306152024,0.12036363273531012
A,106.5693359375,58.63671875,65.6328125,351.1644,0.4636886,0.41791898,6.144857,0.25676492,0.30175015,387.88004032258465,0.4700568530358877,0.032020927770703284,0.10397680735152552
A,103.00390625,54.43359375,62.4443359375,350.11267,0.48771936,0.4039369,6.1269293,0.2790493,0.28742725,387.59274193548754,0.47238200169671785,0.031290621361227976,0.10825583701857928
A,89.16796875,39.65625,51.802734375,345.2037,0.57441545,0.3496783,6.0430684,0.3704265,0.23611367,303.7983870967776,0.48814119366313596,0.03527505686879559,0.13339749407124743
A,96.74609375,50.0791015625,57.7587890625,349.7594,0.49883273,0.37939647,6.1209536,0.28854215,0.26743004,280.9979838709705,0.5620949697175176,0.032641683182847395,0.1313616335155338
A,83.66796875,36.0205078125,47.1708984375,345.7907,0.5879611,0.3281097,6.0535893,0.38046747,0.21811685,204.9395161290347,0.5956362035364078,0.040792374133665765,0.16462515386307797
A,82.0185546875,39.033203125,53.4296875,337.69867,0.57198256,0.322932,5.906922,0.3906014,0.22808033,692.8518145161358,0.5590851808949607,0.04475397758149847,0.17203730570868436
A,97.818359375,50.41015625,58.4951171875,348.7149,0.4983655,0.38360143,6.1029124,0.28777224,0.270227,245.01713709677563,0.5441569415982392,0.033570213317231305,0.12710967796088923
A,85.4716796875,36.873046875,48.3232421875,345.7229,0.59378284,0.33518308,6.0519085,0.39002228,0.22309539,199.11491935484085,0.7052431416671613,0.03608673854771902,0.13437577421574104
A,91.6240234375,48.4013671875,64.095703125,334.96466,0.5301403,0.35994947,5.8563914,0.364456,0.26682496,949.9506048387203,0.5850659766731143,0.03221866293245389,0.11117017102523584
A,91.8720703125,45.82421875,55.458984375,347.47873,0.51421225,0.36028263,6.082649,0.3073782,0.25249058,240.64314516129267,0.46385365801706824,0.036576214831706935,0.1442974375723576
A,82.501953125,36.1533203125,48.6396484375,342.92822,0.5943487,0.32381666,6.001998,0.4001582,0.21868618,303.05544354839014,0.6281178418466025,0.03497126765867242,0.14396906684005356
A,64.5849609375,25.935546875,38.482421875,337.36926,0.66045725,0.25337777,5.89824,0.48894906,0.16863129,700.3205645161358,0.39169381533735953,0.037468281330737443,0.14570986406804468
A,82.5966796875,35.849609375,47.1064453125,345.6062,0.57637346,0.32390857,6.050912,0.3673117,0.21640882,130.3336693548396,0.5378983142418431,0.04898197827926034,0.1936449992048803
A,80.826171875,34.90625,48.21484375,341.64703,0.5980871,0.3170305,5.978943,0.40477407,0.21431017,414.67338709677813,0.5395615925260133,0.0515346795710547,0.17654111313830828
A,97.0771484375,54.38671875,70.697265625,333.8062,0.49465773,0.3814798,5.835179,0.33408177,0.29040673,1234.019153225822,0.47672281488303925,0.030857314243980766,0.09564786193967412
A,86.6650390625,35.9072265625,48.26953125,345.29007,0.597844,0.33986294,6.0451374,0.3881997,0.22332262,210.88004032258252,0.4506003422841376,0.04817135202407516,0.18074359043822028
